"","name","Sex","Nation","sleeptime","steps","height","weight","IMC","Age"
"1","I_6793","V","GE",12.615791978618,11683.1531328357,173.589858648597,74.4421639576138,24.7041713009501,30.3319905800559
"2","E_8937","V","BE",6.29308587075164,11626.3872196136,181.16045360845,78.7461296476264,23.9939869678706,27.5141601049811
"3","P_2764","M","GE",9.27047661252967,14561.6024817355,169.885659632091,70.4147144285941,24.3977614527154,35.8551450227828
"4","B_3894","M","IT",8.31478256232718,13886.6477161149,166.207091476455,68.0744449205345,24.6425138570493,29.3944843214308
"5","N_9989","V","SP",4.90270668413329,9943.08340492804,177.668332635683,76.3990625860231,24.2029317731766,31.4787844427911
"6","L_8104","V","SP",6.36375852748744,9762.01537393219,174.067634800249,75.1317564289034,24.796334448234,32.5954953386511
"7","O_9109","V","IT",5.14409261792062,11797.1838724519,175.919487980905,76.1828750328129,24.6166784964632,29.3108788831962
"8","R_4954","V","SP",15.7788071522941,9451.02275552925,184.410531899626,80.4320384223861,23.6514425487645,24.7867472691514
"9","H_3098","V","PT",11.0247996110637,12437.5945703866,178.463564584504,77.2246378095332,24.2469297199942,24.656487198562
"10","T_5574","M","IT",10.6926040589958,13619.9176340618,158.953001329929,63.9408100704482,25.3070002186218,30.6989413551042
"11","Q_1581","V","SP",3.41054743085753,9742.88211916997,172.516392189542,73.924770599922,24.8387222437346,27.7344976360608
"12","K_6363","V","SP",6.90826130611477,10033.4325778966,181.148695780851,79.2139826708738,24.139675394421,32.6787761587386
"13","G_5630","V","IT",6.36093337934011,11266.1421494535,179.557285558492,78.3018737210565,24.2865648709944,29.775139881699
"14","D_9531","V","IT",18.8921826387012,11947.0507777969,168.04103409396,71.9427576133526,25.4774753286384,31.241478183336
"15","M_303","V","GE",3.61765585177068,11858.7830141362,188.566308240085,82.879447947476,23.3087322218466,27.1934334666086
"16","F_4858","M","IT",9.62700057510839,13618.1243813427,177.381306760613,74.3517206968489,23.6306312779311,28.1684957645835
"17","C_595","V","GB",9.84377111688293,12063.4877834122,173.652892271405,75.0957955617559,24.9029949422001,31.4027934019143
"18","J_6819","M","GB",10.8683543078733,14038.3778744717,170.700112600008,71.0748678439863,24.392058091163,34.7409826323481
"19","V_6880","M","SP",5.91173397563717,11917.8516827716,181.042991878668,76.2113364475556,23.251776585066,33.5017801288487
"20","U_5418","V","IR",9.00795073203218,12052.0632616855,180.54796264134,78.6316340427549,24.1219335453994,31.025025905684
"21","S_6307","V","SP",2.36399061539687,9831.77659234247,182.664146009107,79.4708069949937,23.8177647582627,27.0699899660762
"22","A_8957","M","PT",12.8943653760187,13975.5209270634,177.717168263443,74.1649717534344,23.4822694150913,29.8494849210168
"23","W_4179","V","IT",4.24389295746672,11741.619711188,181.563822003127,78.898522352722,23.9337217173272,35.7151253276286
"24","I_8510","M","IT",6.84223637017158,13895.7154861156,164.514643715503,67.0183799741467,24.7619477556731,34.2467005576585
"25","E_5354","M","FR",12.7745027095246,13737.232658701,167.803173457956,69.2155268600539,24.5812061673611,30.2230568470723
"26","P_4093","V","SP",3.04725032073062,9982.39885910471,183.707665481193,80.1467449053021,23.7482346799468,26.4306779891013
"27","B_5461","V","SP",3.29338408629863,9999.18249771881,172.169536699548,74.1485541576047,25.0143985683231,35.2560862112017
"28","N_8220","M","FR",6.44694898457064,13856.610389871,172.413384408387,71.5063160557573,24.0548387617096,37.5235987302284
"29","L_1299","M","PT",12.8473946769176,13951.3672193499,157.341544893491,63.5714079434652,25.6788168579841,28.7184917979153
"30","O_8166","V","SP",6.50002281432898,9728.13674224649,187.036889543967,82.2118892639436,23.5006614238739,31.2761362056736
"31","R_9999","M","IT",15.1782979804284,13532.6857861975,164.796178849515,67.8360314844053,24.9784886972035,32.9439853029774
"32","H_6609","V","SP",3.021522139372,10149.6761233558,164.052954403365,69.7577145861734,25.9193515323618,32.7261068993563
"33","T_9032","V","FR",15.9795871580519,12133.4214942465,173.981847247437,74.7884026994108,24.7073622394251,28.3839499605816
"34","Q_3989","M","FR",17.6673900552384,13710.4571053079,161.542271587772,65.8532411444353,25.2350856803428,31.5950071478395
